CarType,RetailPrice,DealerCost,EngineSize,Cyl,HP,CityMPG,HwyMPG,Weight,WheelBase,Len,Width
Regular,29814.3591836735,27446.1428571429,2.90857142857143,5.53061224489796,200.085714285714,21.7020408163265,29.2448979591837,3321.78775510204,107.183673469388,186.10612244898,70.4285714285714
Sports.car,53387.0612244898,48473.1632653061,3.44285714285714,6.04081632653061,284.163265306122,18.6530612244898,25.734693877551,3295.69387755102,99.9795918367347,173.285714285714,70.8775510204082
SUV,34790.25,31625.35,3.92,6.56666666666667,235.816666666667,16.2666666666667,20.7166666666667,4444.43333333333,111.083333333333,188.133333333333,74.0333333333333
Wagon,28840.5333333333,26645.6333333333,2.77,5.3,194,20.9333333333333,27.7333333333333,3438.8,105.8,182.433333333333,70.2666666666667
Minivan,27796.5,25355.5,3.535,5.9,204.45,17.9,24.45,4193.6,117.4,197.15,76.15
Pickup,24941.375,22616.75,4.07916666666667,6.25,224.833333333333,16.8333333333333,21.375,4250.75,123,185,71
